Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Placed,Branch_Agricultural Engineering,Branch_Applied Electronics and Instrumentation,Branch_Automobile Engineering,Branch_Civil Engineering,Branch_Computer Science Engineering,Branch_Electrical Engineering,Branch_Electrical and Electronics Engineering,Branch_Electronics and Communications Engineering,Branch_Electronics and Instrumentation Engineering,Branch_Information Technology,Branch_Instrumentation and Control Engineering,Branch_MCA,Branch_Mechanical Engineering,Degree_B. Tech.,Degree_BE,Degree_M. Tech.,Degree_MCA
57,45,60,65,33,27,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
53,53,33,73,50,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
47,50,15,75,40,47,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
56,53,53,60,45,73,96,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,67,33,53,25,53,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
56,67,27,73,45,33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
47,67,20,53,45,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
60,60,70,50,47,33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
52,55,45,55,53,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
33,40,27,33,25,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
53,73,33,53,30,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
44,40,53,40,25,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
33,33,20,47,25,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,73,47,60,25,33,96,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,53,47,53,35,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
73,73,80,67,30,53,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,40,27,40,35,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
29,33,13,40,25,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,50,5,60,27,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
40,47,20,53,20,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,7,27,53,30,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
58,55,35,85,47,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
60,60,47,73,70,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42,53,47,27,35,53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
49,47,33,67,25,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38,40,33,40,40,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
35,20,30,55,40,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,45,40,55,50,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
53,67,33,60,60,53,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,53,40,60,40,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,27,33,13,30,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,47,40,60,45,67,60,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,73,40,60,45,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
58,53,60,60,50,40,60,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
47,47,47,47,45,47,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
71,67,73,73,60,53,100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,53,60,67,35,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
49,47,40,60,20,33,60,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,40,27,33,45,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
40,55,20,45,37,27,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,20,13,13,45,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
56,67,47,53,40,53,58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
60,60,53,67,35,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,73,40,47,30,40,56,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,55,65,55,47,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,60,53,40,55,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
52,70,40,45,33,40,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,40,40,40,35,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
43,50,35,45,37,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
58,60,47,67,40,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
40,53,40,27,20,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,60,27,67,45,60,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
36,47,7,53,35,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,67,60,27,65,40,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
48,65,25,55,30,13,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
27,33,27,20,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
49,47,40,60,25,27,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,67,67,60,45,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
76,73,73,80,50,40,60,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
60,60,40,80,43,33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11,7,0,27,20,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,67,40,47,40,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42,47,27,53,45,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
44,53,33,47,30,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
47,47,53,40,35,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
38,33,20,60,35,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,60,25,55,30,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
47,60,20,60,35,27,20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
42,50,25,50,30,60,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,60,27,73,40,40,20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
31,53,20,20,30,40,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,67,40,47,50,53,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
51,60,40,53,45,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
64,80,40,73,45,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
55,75,40,50,43,47,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
44,27,47,60,25,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
51,60,33,60,25,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
73,87,40,93,40,47,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,80,47,47,45,87,60,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45,45,45,45,33,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
57,80,15,75,43,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
49,33,40,73,25,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,60,13,47,15,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,40,27,7,15,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
53,53,47,60,25,60,60,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
64,67,60,67,60,87,96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,67,27,60,30,53,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
38,47,13,53,30,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,60,25,50,67,27,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,60,27,67,40,60,88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
60,67,47,67,15,27,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
82,60,93,93,25,53,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
45,30,55,50,27,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
48,50,30,65,20,53,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
52,50,50,55,37,33,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
47,53,20,67,55,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
29,27,40,20,0,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
36,20,40,47,20,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,40,15,45,23,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
42,53,40,33,75,40,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,40,40,40,25,27,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,67,33,53,25,53,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
71,60,73,80,60,53,100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
55,70,35,60,57,40,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
27,27,33,20,45,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
58,60,55,60,30,40,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
73,80,67,73,45,40,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33,40,27,33,35,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
43,50,25,55,30,47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
51,53,53,47,50,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28,20,30,35,27,60,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
51,60,33,60,50,53,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
47,53,33,53,20,27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
38,53,20,40,30,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,60,47,53,45,40,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
49,67,27,53,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
44,67,13,53,45,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
65,90,40,65,37,53,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,53,0,33,30,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
60,80,33,67,60,27,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
52,50,55,50,40,60,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
40,60,0,60,35,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
56,47,53,67,70,67,88,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
58,45,50,80,33,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
71,67,73,73,60,33,94,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
