iter	Logloss
246	0.2358759428
247	0.235552357
248	0.2351958015
249	0.2349483117
250	0.2347200445
251	0.2344868473
252	0.2336913576
253	0.2336642275
254	0.2331172381
255	0.232804377
256	0.2326623174
257	0.2323351684
258	0.2320194732
259	0.2317951727
260	0.2314315487
261	0.2312225581
262	0.2309533653
263	0.2307404291
264	0.2305360116
265	0.2302152272
266	0.2300894427
267	0.2298145284
268	0.2294509661
269	0.228934515
270	0.2286100022
271	0.2283660697
272	0.2281097328
273	0.227810784
274	0.2276792884
275	0.2273913493
276	0.2270358092
277	0.2266229194
278	0.2262871322
279	0.2260879356
280	0.2258649882
281	0.2254184786
282	0.2250738824
283	0.2248846421
284	0.2246405578
285	0.2243543802
286	0.2241313965
287	0.2238866915
288	0.2235575236
289	0.2232471708
290	0.2229469008
291	0.2227132748
292	0.2224098323
293	0.2220653696
294	0.2219331233
295	0.2212853589
296	0.2210004401
297	0.220625334
298	0.2203300981
299	0.22017169
300	0.2197041838
301	0.2191899472
302	0.2188843725
303	0.218659505
304	0.2185700139
305	0.218350315
306	0.2180628744
307	0.2179183563
308	0.2176665351
309	0.2175133385
310	0.2172667563
311	0.217057682
312	0.2167929071
313	0.2164941959
314	0.2163742273
315	0.2160872163
316	0.2159127698
317	0.2154458927
318	0.2152110213
319	0.2150500455
320	0.2148917161
321	0.2147186472
322	0.2144375626
323	0.2140683506
324	0.2138386976
325	0.2136252259
326	0.2134241918
327	0.213275188
328	0.2131255876
329	0.2129162266
330	0.2127411979
331	0.2125481074
332	0.2123438694
333	0.2122371875
334	0.2120559789
335	0.2118401242
336	0.2116011438
337	0.2112803965
338	0.2111778106
339	0.2108662697
340	0.2105009381
341	0.2103677368
342	0.210188847
343	0.2099565168
344	0.2096572157
345	0.20952417
346	0.2093183426
347	0.2090220347
348	0.2088447481
349	0.2087600191
350	0.208573866
351	0.2082635423
352	0.2081310024
353	0.2079743616
354	0.2078945826
355	0.2076537776
356	0.2074409843
357	0.2071798946
358	0.2068889199
359	0.2065251808
360	0.2062297197
361	0.2057505302
362	0.2054599317
363	0.2053106155
364	0.2051050942
365	0.2049847857
366	0.204779366
367	0.2045865192
368	0.2043460292
369	0.2041287951
370	0.2039629505
371	0.2037449731
372	0.2036198376
373	0.203444293
374	0.2032831149
375	0.2032104942
376	0.2029468469
377	0.2027291366
378	0.2025589042
379	0.2020965751
380	0.2018567798
381	0.201754622
382	0.2014103222
383	0.2012153334
384	0.2010634885
385	0.2007640481
386	0.2005567726
387	0.2003906423
388	0.2000586887
389	0.1999399754
390	0.1997707169
391	0.1995491372
392	0.1992993704
393	0.1990610644
394	0.1988370064
395	0.198659482
396	0.1983321301
397	0.1981608205
398	0.1979790035
399	0.1976190285
400	0.1974579582
401	0.1972397139
402	0.1970754007
403	0.1968302513
404	0.1965879802
405	0.1963920333
406	0.1961748418
407	0.1959256661
408	0.1958820293
409	0.1956599618
410	0.1953778114
411	0.1951829194
412	0.194963961
413	0.1947036117
414	0.1944600548
415	0.1943433295
416	0.1941607474
417	0.1937607546
418	0.1936472302
419	0.1934789068
420	0.193300359
421	0.1931987589
422	0.1930305864
423	0.1929563588
424	0.192826227
425	0.192651418
426	0.1924356266
427	0.1921649086
428	0.1918054132
429	0.1917617503
430	0.1915867855
431	0.1914270615
432	0.1912225063
433	0.1910871185
434	0.1909644408
435	0.1907546179
436	0.1905910795
437	0.1903445883
438	0.1901219056
439	0.1898458113
440	0.1896495424
441	0.1893738837
442	0.1888833565
443	0.1886324203
444	0.1884594688
445	0.1882878857
446	0.1880050732
447	0.1877489666
448	0.1876905293
449	0.187588431
450	0.1874069558
451	0.1871381928
452	0.1870643168
453	0.1869503552
454	0.186700713
455	0.1864544782
456	0.1862166216
457	0.1859877888
458	0.1858938296
459	0.1856172038
460	0.1853701256
461	0.1852168633
462	0.1851313841
463	0.185022214
464	0.1848510523
465	0.1848492201
466	0.1847878975
467	0.184724829
468	0.1846145501
469	0.184389574
470	0.1841287205
471	0.1840058658
472	0.1838403499
473	0.1836525391
474	0.1832169788
475	0.1828628177
476	0.1827366717
477	0.1824162313
478	0.1822178292
479	0.1821777756
480	0.1820224337
481	0.1819201251
482	0.1817277058
483	0.1815178719
484	0.1812150532
485	0.1810817583
486	0.1809115415
487	0.1806312237
488	0.1805499078
489	0.1803464544
490	0.18008349
491	0.1799606197
492	0.1797610063
493	0.1795429073
494	0.1792847158
495	0.1791133111
496	0.178798812
497	0.1786126175
498	0.1783726292
499	0.1782103307
500	0.1780282548
501	0.1778973836
502	0.1777489362
503	0.1775223383
504	0.1773550952
505	0.1772393867
506	0.1771154245
507	0.1769735468
508	0.1767760108
509	0.1766151053
510	0.1765069298
511	0.1763172549
512	0.1762287057
513	0.1760360973
514	0.1758634977
515	0.1757013198
516	0.1754485169
517	0.1752808348
518	0.1751688518
519	0.1750160597
520	0.174826781
521	0.174492346
522	0.1743306846
523	0.1741170628
524	0.173932629
525	0.1737858292
526	0.1736491207
527	0.1734720934
528	0.173282077
529	0.1731939341
530	0.1729946747
531	0.1727506444
532	0.1726007943
533	0.1724803643
534	0.1722903675
535	0.172178016
536	0.1721050546
537	0.1719427299
538	0.1718358032
539	0.1717101036
540	0.171498925
541	0.1713591021
542	0.1711610871
543	0.1710058822
544	0.1709238301
545	0.1707589682
546	0.1705019196
547	0.1702962349
548	0.1699733316
549	0.1698116189
550	0.1695821961
551	0.1693689932
552	0.1693039032
553	0.1692251175
554	0.1689182565
555	0.1688371413
556	0.1687722514
557	0.1683693928
558	0.1682183166
559	0.168015832
560	0.1679692373
561	0.1678378896
562	0.1677447439
563	0.1676617338
564	0.1675273521
565	0.1673519022
566	0.1671502268
567	0.1669144126
568	0.1665798296
569	0.1665271639
570	0.1664039129
571	0.1662035202
572	0.1659548403
573	0.1657808589
574	0.1655940308
575	0.1653975664
576	0.1652647768
577	0.1649894096
578	0.1646380703
579	0.1643793715
580	0.164278742
581	0.1641411275
582	0.1638735137
583	0.1637505631
584	0.1634888365
585	0.16335301
586	0.1631700539
587	0.1629814843
588	0.1628342006
589	0.1626760628
590	0.1625407732
591	0.1623332845
592	0.1621896546
593	0.1619076558
594	0.1617830195
595	0.1615633991
596	0.1612387705
597	0.1610822005
598	0.1609318308
599	0.1608230149
600	0.1606974746
601	0.160625876
602	0.1603958749
603	0.1602941241
604	0.1601380431
605	0.1600611996
606	0.1599890364
607	0.1597919943
608	0.1595131456
609	0.159253612
610	0.1590450058
611	0.1588104506
612	0.1585502411
613	0.1583081055
614	0.158038768
615	0.1578288739
616	0.157561926
617	0.1574637283
618	0.1573042713
619	0.1570946834
620	0.1568293003
621	0.156725466
622	0.1565752023
623	0.1564893182
624	0.1562789961
625	0.1561920323
626	0.1560376781
627	0.1558316547
628	0.1557189739
629	0.1553353781
630	0.1551367183
631	0.15499205
632	0.1547333677
633	0.1545835751
634	0.1543591508
635	0.1542088699
636	0.1539822075
637	0.1538958095
638	0.1537647522
639	0.1534451821
640	0.1533322308
641	0.1531881286
642	0.1530544381
643	0.1528245285
644	0.1525784812
645	0.1524078373
646	0.1522196381
647	0.1520315961
648	0.1518037014
649	0.15155136
650	0.1514373642
651	0.1512342601
652	0.1510092926
653	0.1507542192
654	0.1505835632
655	0.1504983041
656	0.1503336808
657	0.1500328276
658	0.1498311911
659	0.1497351602
660	0.1496536645
661	0.1494669792
662	0.1493707857
663	0.1489624587
664	0.1487655368
665	0.1486354694
666	0.1484812382
667	0.1483273346
668	0.1481930438
669	0.1480028612
670	0.1479061896
671	0.1476880273
672	0.147479271
673	0.1472647115
674	0.1471932845
675	0.1470577041
676	0.1468331293
677	0.1467066599
678	0.1465084153
679	0.146353275
680	0.1461465945
681	0.1460116537
682	0.1458660943
683	0.1456751546
684	0.1455370113
685	0.1454375614
686	0.1451742352
687	0.144917451
688	0.1447512797
689	0.1445998195
690	0.1444146831
691	0.1442841696
692	0.1441091007
693	0.1439470212
694	0.1437635731
695	0.1435318042
696	0.1434120911
697	0.1432366169
698	0.1431429332
699	0.1430287715
700	0.1429070529
701	0.1427702808
702	0.1426258339
703	0.1425253142
704	0.1423641549
705	0.1419888962
706	0.1418557786
707	0.1416712723
708	0.1414458187
709	0.141153467
710	0.1410237214
711	0.1408342335
712	0.1405909466
713	0.1405490496
714	0.1404092501
715	0.1402505862
716	0.1400518439
717	0.1398859984
718	0.139805504
719	0.1395624091
720	0.1393816297
721	0.1392309083
722	0.139096781
723	0.1389047427
724	0.138636688
725	0.1384629994
726	0.1382707798
727	0.1380884212
728	0.1379482517
729	0.1377772258
730	0.1376487886
731	0.1374590818
732	0.137261943
733	0.1371615287
734	0.1370234617
735	0.1368793073
736	0.1367603332
737	0.1365834978
738	0.136465136
739	0.1361627404
740	0.1359634748
741	0.1357495341
742	0.1355495947
743	0.1353619874
744	0.1352131704
745	0.1350723554
746	0.1349368987
747	0.134866041
748	0.1346527121
749	0.1344978047
750	0.1343503487
751	0.1342613187
752	0.1340997866
753	0.1339306641
754	0.1337341294
755	0.1336631036
756	0.1335484292
757	0.1333994099
758	0.1333132702
759	0.1331201473
760	0.132953807
761	0.1327478659
762	0.1326176357
763	0.132488244
764	0.1323234372
765	0.1322189286
766	0.1320829939
767	0.1319055221
768	0.1317819593
769	0.1316450856
770	0.131542886
771	0.1313588228
772	0.1311888698
773	0.1310810939
774	0.1309695195
775	0.1308113448
776	0.1307081303
777	0.1305590487
778	0.1304015949
779	0.1302630217
780	0.1301221356
781	0.1300422484
782	0.1299226986
783	0.129776218
784	0.1296735209
785	0.1294198956
786	0.1292243624
787	0.1291180662
788	0.1289516801
789	0.1286838226
790	0.1285660203
791	0.1283653966
792	0.1282282433
793	0.1280652029
794	0.1279718128
795	0.1277821284
796	0.1275970659
797	0.1275230276
798	0.1273656716
799	0.1271833557
800	0.1269488634
801	0.1267705186
802	0.1266116062
803	0.1265958675
804	0.1265164923
805	0.1263623555
806	0.1262877461
807	0.1260996657
808	0.1259104132
809	0.1258418074
810	0.1257156551
811	0.1255647538
812	0.1254647138
813	0.1253223559
814	0.1251676348
815	0.1250558151
816	0.1248812759
817	0.1247653159
818	0.1246410542
819	0.1245287615
820	0.1244053829
821	0.1243251334
822	0.1242259598
823	0.1240870076
824	0.1239285077
825	0.1237579073
826	0.1236003984
827	0.1234792175
828	0.1232554413
829	0.1231175464
830	0.1230069126
831	0.1228983063
832	0.1228469885
833	0.1227278687
834	0.1225963179
835	0.1225007902
836	0.1224130096
837	0.1222178818
838	0.1220719447
839	0.1219197656
840	0.1218134647
841	0.1216433295
842	0.1215652427
843	0.1213385843
844	0.1211672989
845	0.1210172506
846	0.1209357926
847	0.1208588318
848	0.1207460224
849	0.1207009549
850	0.1205998763
851	0.1205465948
852	0.1204144482
853	0.1202532165
854	0.120098278
855	0.119948347
856	0.1198040845
857	0.1197263111
858	0.1196138066
859	0.1194437695
860	0.1192454065
861	0.1192045367
862	0.1190458739
863	0.1189909855
864	0.1188459661
865	0.1187483331
866	0.1186423272
867	0.1185458746
868	0.1185130686
869	0.1183904927
870	0.1182562689
871	0.118229328
872	0.1180068458
873	0.1178841234
874	0.1177906954
875	0.1177038919
876	0.117612847
877	0.117453906
878	0.1172904477
879	0.1172301372
880	0.1171391144
881	0.1170552147
882	0.1170043213
883	0.1167816935
884	0.1167415728
885	0.1166686978
886	0.1165478889
887	0.1164479919
888	0.1162943309
889	0.1161937116
890	0.1160310068
891	0.1159491543
892	0.1158544462
893	0.1157394488
894	0.115528881
895	0.1154517597
896	0.1153484772
897	0.1152619933
898	0.1151608672
899	0.1150847534
900	0.1150410997
901	0.1149010984
902	0.114858385
903	0.1148095119
904	0.1146938937
905	0.1146443646
906	0.1146124828
907	0.1145074511
908	0.1143716618
909	0.1143236089
910	0.1141496813
911	0.1140120552
912	0.1138781834
913	0.1138308342
914	0.1137459803
915	0.1136226204
916	0.1135130327
917	0.1133327105
918	0.1133037405
919	0.1132589916
920	0.1130943246
921	0.1130196236
922	0.1129263086
923	0.1128855821
924	0.1128025996
925	0.1127158255
926	0.112676161
927	0.1126203256
928	0.1125731404
929	0.1124647437
930	0.1123347006
931	0.1121799125
932	0.1120610973
933	0.111871898
934	0.1117800048
935	0.1116852974
936	0.1115204358
937	0.1114776605
938	0.1114301786
939	0.111324726
940	0.1111968304
941	0.1111171692
942	0.1110762106
943	0.1109075299
944	0.1108148189
945	0.1107804844
946	0.1106204865
947	0.110491269
948	0.1104467318
949	0.1103834756
950	0.1103074358
951	0.1101984851
952	0.1101611358
953	0.1099676048
954	0.1098752649
955	0.1098315954
956	0.1097089613
957	0.1096368217
958	0.1095099295
959	0.1094339155
960	0.1093516368
961	0.1093092457
962	0.1092291513
963	0.1090803166
964	0.1089232499
965	0.1087816052
966	0.108741006
967	0.1085524528
968	0.1084010357
969	0.1082660111
970	0.108157263
971	0.1080020337
972	0.1079305621
973	0.1078229029
974	0.107772613
975	0.1077205201
976	0.1076170696
977	0.1075453506
978	0.1074094717
979	0.1072371753
980	0.1071813255
981	0.1070631463
982	0.1069857742
983	0.1068250193
984	0.1067332901
985	0.1065543066
986	0.1064640882
987	0.1063506457
988	0.106276276
989	0.1061770375
990	0.1060440466
991	0.1059976333
992	0.1059505751
993	0.1058478233
994	0.1057765853
995	0.105680325
996	0.1056091044
997	0.1055387001
998	0.1054651339
999	0.1054018248
